Zip,Total_Population,Male_Population,Female_Population
11211,65691,33199,32492
11212,87946,37390,50556
11213,69630,32557,37073
11214,88994,43694,45300
11215,70922,35423,35499
11216,59913,26620,33293
11217,42569,19711,22858
11218,71313,36111,35202
11219,94737,49087,45650
11220,90792,45005,45787
11221,90750,42373,48377
11222,41418,20130,21288
11223,78566,37766,40800
11224,48469,22090,26379
11225,56544,26777,29767
11226,100022,46690,53332
11228,42325,20952,21373
11229,79802,38753,41049
11230,88252,43740,44512
11231,39704,18618,21086
11232,26681,14669,12012
11233,82711,38328,44383
11234,87778,40562,47216
11235,81958,38930,43028
11236,95174,43576,51598
11237,45233,23215,22018
11238,58462,26369,32093
11239,16047,6306,9741
11249,45353,21541,23812
11354,52325,25117,27208
11355,79802,38352,41450
11356,26956,13515,13441
11357,42341,19600,22741
11358,36496,17982,18514
11359,0,0,0
11360,19510,9234,10276
11361,30402,13974,16428
11362,18156,8739,9417
11363,7515,3558,3957
11364,36417,17552,18865
11365,43258,20808,22450
11366,12967,6641,6326
11367,42210,19422,22788
11368,107060,55585,51475
11369,33354,17468,15886
11370,28762,15761,13001
11371,0,0,0
11372,66995,34753,32242
11373,99433,49931,49502
11374,46128,22252,23876
11375,75320,36029,39291
11377,83545,41387,42158
11378,37828,18805,19023
11379,37378,18204,19174
11385,103865,51143,52722
11411,20501,9069,11432
11412,41350,18483,22867
11413,45072,19957,25115
11414,31090,15267,15823
11415,21379,10905,10474
11416,26660,13555,13105
11417,30091,14437,15654
11418,36304,18239,18065
11419,46938,24125,22813
11420,50060,25941,24119
11421,41937,21161,20776
11422,33085,15482,17603
11423,29105,14096,15009
11424,0,0,0
11426,19638,10007,9631
11427,25124,12192,12932
11428,18898,9517,9381
11429,27933,13053,14880
11430,448,224,224
11432,63730,31636,32094
11433,37777,17707,20070
11434,67611,30380,37231
11435,58424,29514,28910
11436,21364,10123,11241
11439,2171,965,1206
11451,0,0,0
11501,21590,11482,10108
11507,6581,3155,3426
11509,1747,787,960
11510,34814,17129,17685
11514,4421,2104,2317
11516,8733,4229,4504
