Zip,Total_Population,Male_Population,Female_Population
13615,538,244,294
13616,1560,664,896
13617,12294,6028,6266
13618,1696,844,852
13619,10774,5404,5370
13620,2150,970,1180
13621,683,335,348
13622,2100,974,1126
13623,76,39,37
13624,4438,2499,1939
13625,1689,843,846
13626,2322,1299,1023
13628,185,94,91
13630,1307,759,548
13632,128,56,72
13633,378,200,178
13634,3866,1952,1914
13635,1283,703,580
13636,184,83,101
13637,5280,3023,2257
13638,172,98,74
13639,23,19,4
13640,305,145,160
13641,69,29,40
13642,9018,4996,4022
13643,20,20,0
13645,0,0,0
13646,2373,1212,1161
13647,159,83,76
13648,2236,1093,1143
13649,58,28,30
13650,1268,652,616
13651,127,67,60
13652,1876,1026,850
13654,2370,1199,1171
13655,3705,1712,1993
13656,2945,1488,1457
13658,2028,1006,1022
13659,371,216,155
13660,1953,1002,951
13661,2043,964,1079
13662,15737,7761,7976
13664,401,204,197
13665,686,312,374
13666,236,111,125
13667,3460,1769,1691
13668,3313,1638,1675
13669,15615,8096,7519
13670,382,188,194
13672,408,188,220
13673,1983,1050,933
13674,154,93,61
13675,51,16,35
13676,13408,6548,6860
13678,19,0,19
13679,1169,649,520
13680,1417,694,723
13681,941,497,444
13682,795,410,385
13683,58,24,34
13684,1105,540,565
13685,2234,1103,1131
13687,421,252,169
13690,651,374,277
13691,3172,1818,1354
13692,216,111,105
13693,315,147,168
13694,1232,534,698
13695,169,103,66
13696,188,90,98
13697,1951,945,1006
13699,2123,1336,787
13730,2763,1291,1472
13731,1102,568,534
13732,7438,3791,3647
13733,5265,2900,2365
13734,2243,1249,994
13736,1887,946,941
13738,22,14,8
13739,792,410,382
13740,607,371,236
13743,2893,1444,1449
13744,1284,643,641
13746,2432,1263,1169
13747,0,0,0
13748,3722,2016,1706
13750,588,291,297
13751,334,124,210
13752,913,584,329
13753,5629,2862,2767
13754,2793,1397,1396
13755,737,338,399
13756,665,338,327
13757,1121,548,573
13760,42880,21070,21810
13774,230,114,116
13775,1839,1081,758
13776,395,204,191
13777,445,246,199
13778,5139,2533,2606
13780,842,341,501
13782,797,425,372
13783,2200,1156,1044
13784,383,214,169
13786,440,251,189
13787,3120,1771,1349
13788,950,500,450
13790,18560,8891,9669
13795,3180,1364,1816
13796,915,453,462
13797,2105,1031,1074
13801,1533,856,677
13802,1206,552,654
13803,3936,1875,2061
13804,266,145,121
13806,168,85,83
13807,1260,578,682
13808,1486,742,744
13809,1688,724,964
13810,1195,567,628
13811,4102,2062,2040
13812,2313,1147,1166
13813,1148,633,515
13814,28,19,9
13815,12855,6280,6575
13820,22954,10943,12011
13825,2785,1583,1202
13826,68,62,6
13827,11713,5652,6061
13830,4826,2389,2437
13832,513,238,275
13833,4176,2178,1998
13834,108,48,60
13835,1182,559,623
13838,4185,1942,2243
13839,1362,758,604
13841,394,174,220
13842,607,333,274
13843,2014,960,1054
13844,543,300,243
13846,259,108,151
13847,15,13,2
13849,4351,1876,2475
13850,23675,11713,11962
13856,5915,2940,2975
13859,119,49,70
13860,266,127,139
13861,450,296,154
13862,3667,1849,1818
13863,430,229,201
13864,1421,657,764
13865,5823,3167,2656
13901,19730,9219,10511
13902,6921,3417,3504
13903,17528,8346,9182
13904,9138,4423,4715
13905,28370,14622,13748
14001,9122,4185,4937
14004,11312,6013,5299
14005,1788,943,845
14006,9354,4386,4968
14008,1484,663,821
14009,5787,2771,3016
14011,7382,4811,2571
14012,2944,1501,1443
14013,1612,826,786
14020,22209,11343,10866
14024,1606,826,780
14025,3445,1713,1732
14026,561,265,296
14027,143,82,61
14028,1377,684,693
14029,31,14,17
14030,2051,1002,1049
14031,9741,4878,4863
14032,10359,5328,5031
14033,1412,701,711
14034,2175,1336,839
14035,69,41,28
14036,5745,2917,2828
14037,923,452,471
14039,101,46,55
14040,1635,874,761
14041,204,119,85
14042,4207,2089,2118
14043,24799,11924,12875
14047,6072,3217,2855
14048,14949,7811,7138
14051,20333,10235,10098
14052,17501,8654,8847
14054,1359,757,602
14055,1300,594,706
14056,205,48,157
14057,7632,3961,3671
14058,2649,1334,1315
14059,9413,4875,4538
14060,346,201,145
14061,101,62,39
14062,3220,1521,1699
14063,12722,6158,6564
14065,1769,834,935
14066,1004,489,515
14067,4063,1836,2227
14068,8504,4292,4212
14069,492,215,277
14070,5437,2695,2742
14072,21441,10687,10754
14075,44588,20682,23906
14080,4434,2331,2103
14081,2736,1419,1317
14082,566,326,240
14083,20,10,10
14085,8439,4120,4319
14086,35659,17408,18251
14091,1402,711,691
14092,10318,4832,5486
14094,50526,24448,26078
14098,2968,1524,1444
14101,1984,976,1008
14102,1894,1109,785
14103,10836,5560,5276
14105,5113,2554,2559
14108,5301,2793,2508
14109,1341,523,818
14111,3125,1639,1486
14112,38,26,12
14113,646,366,280
14120,44379,21914,22465
14125,3668,1834,1834
14126,301,204,97
14127,30783,15290,15493
14129,1228,616,612
14130,110,65,45
14131,5339,2578,2761
14132,6432,3246,3186
14134,57,24,33
14135,109,61,48
14136,5274,2539,2735
14138,2019,1079,940
14139,2093,1112,981
14141,7624,4101,3523
14143,1230,704,526
14145,1275,660,615
14150,41585,20251,21334
14166,182,106,76
14167,1931,1075,856
14168,90,36,54
14169,84,57,27
14170,2200,1065,1135
14171,1736,869,867
14172,3019,1525,1494
14173,183,70,113
14174,5768,2937,2831
14201,12545,6303,6242
14202,3764,2012,1752
14203,2526,1203,1323
14204,7748,3194,4554
14206,22427,11275,11152
14207,25731,12514,13217
14208,12731,5482,7249
14209,8373,4096,4277
14210,15454,7468,7986
14211,23951,10799,13152
14212,13603,6512,7091
14213,23072,11706,11366
14214,21162,11028,10134
14215,42813,19117,23696
14216,23221,10856,12365
14217,22566,10631,11935
14218,20661,9703,10958
14219,10894,5170,5724
14220,23786,11546,12240
14221,55153,26657,28496
14222,15440,7706,7734
14223,22363,10998,11365
14224,41101,19957,21144
14225,33801,16552,17249
14226,29482,14489,14993
14227,21669,10069,11600
14228,24345,12278,12067
14260,857,433,424
14261,4970,2599,2371
14301,11448,5857,5591
14302,209,20,189
14303,6210,2979,3231
14304,28965,14514,14451
14305,16433,8003,8430
14411,12479,6063,6416
14413,81,67,14
14414,6722,3292,3430
14415,132,58,74
14416,3908,1985,1923
14418,1147,634,513
14420,20097,9599,10498
14422,1693,800,893
14423,4829,2367,2462
14424,28851,14041,14810
14425,13582,6657,6925
14427,1875,994,881
14428,7986,4062,3924
14432,5583,2491,3092
14433,4319,2273,2046
14435,2398,1240,1158
14437,8970,4727,4243
14441,339,186,153
14445,7604,3966,3638
14450,43063,20846,22217
14453,0,0,0
14454,11044,4738,6306
14456,19864,10075,9789
14462,765,348,417
14463,258,68,190
14464,6725,3383,3342
14466,1656,882,774
14467,10468,4917,5551
14468,19119,9778,9341
14469,5789,2852,2937
14470,7765,3975,3790
14471,2792,1513,1279
14472,9156,4641,4515
14475,253,147,106
14476,2456,1303,1153
14477,1779,922,857
14478,1393,599,794
14479,61,17,44
14480,532,192,340
14481,1883,933,950
14482,8233,3927,4306
14485,4163,2125,2038
14486,374,107,267
14487,5632,2848,2784
14489,7016,3198,3818
14502,10515,5136,5379
14504,1655,798,857
14505,5165,2625,2540
14506,866,372,494
14507,1233,641,592
14510,4781,2450,2331
14511,529,308,221
14512,4908,2527,2381
14513,13501,6721,6780
14514,5979,2900,3079
14515,146,89,57
14516,2184,1179,1005
14517,2588,1377,1211
14519,12487,6214,6273
14521,3282,1957,1325
14522,9230,4616,4614
14525,2532,1304,1228
14526,19348,9071,10277
14527,12444,5860,6584
14529,76,40,36
14530,6396,3437,2959
14532,3933,1996,1937
14533,1754,933,821
14534,33361,15933,17428
14536,663,330,333
14537,217,132,85
14539,115,38,77
14541,3523,2241,1282
14542,33,0,33
14543,3301,1743,1558
14544,2274,1069,1205
14545,136,55,81
14546,4585,2275,2310
14548,3695,1883,1812
14549,404,108,296
14550,1273,574,699
14551,4969,2627,2342
14555,1206,670,536
14556,902,890,12
14557,139,55,84
14559,17646,8947,8699
14560,2392,1215,1177
14561,2198,1125,1073
14564,16257,7794,8463
14568,6023,2894,3129
14569,6372,3102,3270
14571,1001,515,486
14572,4745,2271,2474
14580,54466,25872,28594
14585,167,71,96
14586,13056,6064,6992
14588,0,0,0
14589,7904,4009,3895
14590,5264,2808,2456
14591,1453,767,686
14592,119,57,62
14604,2708,1357,1351
14605,11796,5351,6445
14606,27478,13682,13796
14607,17577,9243,8334
14608,12417,5839,6578
14609,40171,18307,21864
14610,14082,6693,7389
14611,17595,8470,9125
14612,35339,17561,17778
14613,14740,6487,8253
14614,1112,951,161
14615,18255,8724,9531
14616,26837,12941,13896
14617,21287,9984,11303
14618,24621,11880,12741
14619,14223,6641,7582
14620,22866,11408,11458
14621,33349,15612,17737
14622,12794,6372,6422
14623,25689,13999,11690
14624,38834,18978,19856
14625,10667,5354,5313
14626,29210,13837,15373
14627,3008,1591,1417
14642,0,0,0
14701,39207,18822,20385
14706,6118,3120,2998
14707,113,56,57
14708,139,75,64
14709,1190,627,563
14710,2951,1500,1451
14711,1861,882,979
14712,3079,1559,1520
14714,556,288,268
14715,2374,1199,1175
14716,2343,1337,1006
14717,612,358,254
14718,1961,1114,847
14719,3334,1775,1559
14720,853,428,425
14721,176,80,96
14722,292,204,88
14723,1060,575,485
14724,3099,1525,1574
14726,2681,1318,1363
14727,5039,2470,2569
14728,856,437,419
14729,768,421,347
14731,1198,634,564
14732,26,18,8
14733,3201,1553,1648
14735,2609,1276,1333
14736,210,86,124
14737,4071,1910,2161
14738,3550,1738,1812
14739,2494,1330,1164
14740,1283,605,678
14741,1957,995,962
14742,104,22,82
14743,2095,1103,992
14744,2186,1049,1137
14747,2035,1087,948
14748,481,254,227
14750,4411,2208,2203
14752,171,103,68
14753,929,421,508
14754,633,329,304
14755,2834,1489,1345
14756,0,0,0
14757,3112,1505,1607
14760,17272,8500,8772
14767,2156,1085,1071
14769,849,492,357
14770,2805,1450,1355
14772,4431,2229,2202
14774,322,133,189
14775,2272,1197,1075
14777,531,267,264
14778,1428,713,715
14779,6791,3296,3495
14781,1859,866,993
14782,2010,1017,993
14783,83,32,51
14784,950,481,469
14785,0,0,0
14787,4863,2391,2472
14788,95,79,16
14801,5415,2900,2515
14802,4627,2644,1983
14803,1491,598,893
14804,1501,657,844
14805,723,355,368
14806,2131,1084,1047
14807,2865,1418,1447
14808,470,252,218
14809,2921,1660,1261
14810,11412,5569,5843
14812,2961,1550,1411
14813,2465,1288,1177
14814,2047,1020,1027
14815,725,400,325
14816,502,233,269
14817,2811,1365,1446
14818,1819,899,920
14819,633,316,317
14820,556,264,292
14821,3015,1547,1468
14822,826,455,371
14823,3697,1943,1754
14824,778,440,338
14825,746,317,429
14826,2134,1023,1111
14827,0,0,0
14830,18752,9003,9749
14836,915,490,425
14837,5633,2921,2712
14838,2150,1141,1009
14839,553,276,277
14840,2514,1303,1211
14841,827,388,439
14842,930,482,448
14843,12452,6312,6140
14845,20552,10298,10254
14846,978,513,465
14847,2385,1167,1218
14850,66495,32983,33512
14853,2294,1100,1194
14854,99,48,51
14855,890,404,486
14856,0,0,0
14858,1405,708,697
14859,1100,555,545
14860,1079,584,495
14861,1356,686,670
14864,1144,664,480
14865,2578,1163,1415
14867,5188,2599,2589
14869,996,506,490
14870,10086,5002,5084
14871,4497,2013,2484
14872,596,345,251
14873,1937,952,985
14874,166,81,85
14877,680,406,274
14878,793,392,401
14879,2345,1220,1125
14880,1475,770,705
14881,159,107,52
14882,4193,1868,2325
14883,4525,2287,2238
14884,363,206,157
14885,659,355,304
14886,6654,3199,3455
14889,1341,618,723
14891,4527,2331,2196
14892,7531,3833,3698
14893,30,12,18
14894,1316,741,575
14895,9117,4607,4510
14897,770,389,381
14898,1501,762,739
14901,14430,7522,6908
14903,7140,3313,3827
14904,14276,7188,7088
14905,8976,4080,4896
